All Members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"December 6, 2024",,,,,,,,,,,,Last Increase,,52 Week Range,,Dividend Growth,,,,Trailing Total Returns,,,,,,,Performance,,Profitability,,,Financial Strength,,,Valuation,,,,

Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry

A,"Agilent Technologies, Inc.",,Health Care,13,137.87,0.72,0.63,0.248,4,0.99,0.236,31/12/2024,22/1/2025,124.16,155.35,5.43,6.99,3.00,9.47,33.75,-1.31,At Fair Value,0,Blended,Declaration date,4,5.39,-4.73,19.81,6.04,21.96,2.09,0.37,10.32,29.32,6.31,0.84,,Life Sciences Tools and Services

AAPL,Apple Inc.,,Information Technology,12,243.04,0.41,0.59,0.25,4,1.00,0.240,10/5/2024,16/5/2024,164.08,244.54,4.26,4.86,5.50,8.03,36.79,18.75,Above Fair Value,16,Blended,Ex-date,6,-0.84,2.03,23.98,7.71,157.42,0.87,0.68,42.54,37.29,60.47,2.43,,"Technology Hardware, Storage and Peripherals"

ABBV,AbbVie Inc.,,Health Care,12,176.17,3.72,4.23,1.64,4,6.56,1.550,15/1/2025,14/2/2025,145.20,207.32,4.79,6.47,8.02,14.10,37.64,27.26,Above Fair Value,4,Blended,Ex-date,12,-21.48,0.72,9.23,9.34,56.41,0.65,0.93,14.33,68.75,57.86,12.08,,Biotechnology

ABM,ABM Industries Incorporated,,Industrials,57,56.7,1.59,1.93,0.225,4,0.90,0.220,3/1/2024,5/2/2024,39.64,59.78,4.68,16.23,4.60,1.52,34.56,7.49,At Fair Value,0,Blended,Declaration date,6,-31.63,3.25,1.89,5.27,8.44,1.39,0.45,4.95,22.72,1.91,1.75,,Commercial Services and Supplies

ABR,"Arbor Realty Trust, Inc.",,Financials,12,14,12.29,10.56,0.43,4,1.72,0.420,14/8/2023,31/8/2023,11.92,16.35,4.25,8.68,9.16,12.71,16.69,5.44,In the Margin of Safety,-5,Blended,Ex-date,21,-24.98,-11.17,45.59,2.61,9.95,4.29,0.77,,11.51,1.23,-13.74,,Mortgage Real Estate Investment Trusts (REITs)

ABT,Abbott Laboratories,,Health Care,11,115.59,1.90,1.73,0.55,4,2.20,0.510,11/1/2024,15/2/2024,99.71,121.64,8.01,8.10,11.74,10.45,20.20,0.67,At Fair Value,0,Blended,Ex-date,14,11.75,3.15,14.00,5.02,14.84,1.60,0.28,8.76,34.55,4.97,2.83,,Healthcare Equipment and Supplies

ACN,Accenture plc,,Information Technology,13,358.13,1.65,1.40,1.48,4,5.92,1.290,10/10/2024,15/11/2024,278.69,387.51,15.18,13.60,12.07,10.75,16.97,4.92,At Fair Value,0,Blended,Fiscal year ex-date,14,6.19,1.23,11.20,14.55,26.68,1.10,0.13,19.82,29.56,7.56,3.26,,IT Services

ACNB,ACNB Corporation,,Financials,7,46.26,2.77,3.65,0.32,4,1.28,0.300,31/5/2024,14/6/2024,30.24,50.72,10.72,7.44,5.26,5.02,42.91,19.84,Above Fair Value,1,Blended,Ex-date,8,-22.14,-6.24,27.59,5.03,10.44,0.04,0.00,,12.65,1.22,34.72,,Banks

ADI,"Analog Devices, Inc.",,Information Technology,22,214.55,1.72,1.86,0.92,4,3.68,0.860,4/3/2024,15/3/2024,180.37,244.14,8.39,10.41,11.51,9.59,33.80,13.21,Above Fair Value,8,Blended,Ex-date,13,-50.07,-23.39,17.35,7.77,4.63,1.84,0.19,3.00,68.42,3.19,-31.09,,Semiconductors and Semiconductor Equipment

ADM,Archer-Daniels-Midland Company,,Consumer Staples,49,52.28,3.83,2.62,0.5,4,2.00,0.450,7/2/2024,29/2/2024,48.93,77.35,11.43,9.88,7.09,7.92,-18.20,2.33,In the Margin of Safety,-12,Blended,Ex-date excl. specials,11,-50.46,-10.21,2.07,9.99,7.36,1.41,0.34,4.41,16.76,1.30,1.52,,Food Products

ADP,"Automatic Data Processing, Inc.",,Information Technology,49,301.8,2.04,2.09,1.54,4,6.16,1.400,13/12/2024,1/1/2025,227.12,309.63,12.01,14.61,12.13,11.30,17.66,13.79,At Fair Value,0,Blended,Ex-date,14,11.11,6.64,19.72,11.37,87.27,1.02,0.64,29.36,29.46,21.10,2.57,,IT Services

AEE,Ameren Corporation,,Utilities,11,92.28,2.90,2.89,0.67,4,2.68,0.630,12/3/2024,29/3/2024,67.03,95.69,6.46,6.84,6.80,5.14,21.02,5.73,At Fair Value,0,Blended,Ex-date,10,-3.64,-8.22,16.06,9.33,9.84,0.64,0.61,4.13,20.53,1.98,3.78,,Multi-Utilities

AEP,"American Electric Power Company, Inc.",,Utilities,15,97.45,3.82,3.71,0.93,4,3.72,0.880,8/11/2024,10/12/2024,75.22,105.18,6.03,5.95,5.61,5.82,42.18,12.28,At Fair Value,0,Blended,Ex-date,9,14.20,1.64,13.47,12.14,10.19,0.57,0.63,3.67,20.55,2.06,6.97,,Electric Utilities

AES,The AES Corporation,,Utilities,12,13.29,5.19,3.25,0.173,4,0.69,0.166,31/1/2024,15/2/2024,12.53,22.21,4.23,4.74,4.85,13.66,37.44,-1.15,In the Margin of Safety,-36,Blended,Ex-date,10,0.00,-3.73,8.35,3.44,-2.55,0.86,0.78,3.64,13.61,4.34,0.90,,Independent Power and Renewable Electricity Producers

AFG,"American Financial Group, Inc.",,Financials,19,144.41,2.22,2.10,0.8,4,3.20,0.710,15/10/2024,25/10/2024,114.73,150.19,12.70,12.40,12.17,12.44,27.65,9.15,At Fair Value,0,Blended,Ex-date excl. specials,14,4.99,8.28,11.31,14.73,20.61,2.02,0.27,13.05,12.61,2.40,1.62,,Insurance

AFL,Aflac Incorporated,,Financials,42,107.75,2.15,2.43,0.58,4,2.32,0.500,19/2/2025,3/3/2025,75.08,115.50,15.67,14.78,12.41,10.01,48.90,32.06,Above Fair Value,2,Blended,Ex-date excl. specials,15,-11.73,-8.32,22.02,5.19,16.04,1.48,0.34,8.26,16.73,2.51,1.61,,Insurance

AGCO,AGCO Corporation,,Industrials,12,97.46,1.19,0.90,0.29,4,1.16,0.240,12/5/2023,15/6/2023,84.35,130.26,9.44,17.24,13.35,10.44,-14.47,-3.18,Above Fair Value,5,Blended,Ex-date,15,-85.24,-13.34,1.36,10.63,3.78,1.53,0.49,9.06,42.96,1.77,-3.92,,Machinery

AGM,Federal Agricultural Mortgage Corporation,,Financials,13,212.83,2.63,3.48,1.4,4,5.60,1.100,14/3/2024,28/3/2024,165.50,217.60,24.71,15.50,14.62,25.66,25.07,23.81,Above Fair Value,6,Blended,Ex-date,17,0.66,2.92,57.04,7.21,13.93,1.33,0.96,,11.95,1.95,0.81,,Thrifts and Mortgage Finance

AGM.A,Federal Agricultural Mortgage Corporation,,Financials,13,165.63,3.38,3.97,1.4,4,5.60,1.100,14/3/2024,28/3/2024,122.23,167.50,24.71,15.50,14.62,25.66,12.99,12.31,At Fair Value,0,Blended,Ex-date,18,0.66,2.92,57.04,7.21,13.93,1.33,0.96,,9.14,1.49,0.62,,Thrifts and Mortgage Finance

AGO,Assured Guaranty Ltd.,,Financials,13,91.71,1.35,2.17,0.31,4,1.24,0.280,5/3/2024,20/3/2024,67.27,96.60,11.02,12.06,11.57,10.91,33.47,21.41,Above Fair Value,31,Blended,Ex-date,13,73.47,-7.08,84.66,3.73,13.52,1.05,0.23,4.59,5.99,0.72,0.20,,Insurance

